in_cbsa,CBSA Title,STATE,category,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_0_perc,bin_1_perc,bin_2_perc,bin_3_perc,bin_4_perc,bin_5_perc,bin_6_perc,bin_7_perc
1,"Santa Maria-Santa Barbara, CA",California,white_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.0,0.0,0.011235955056179775,0.06741573033707865,0.056179775280898875,0.07865168539325842,0.38202247191011235,0.39325842696629215
1,"Santa Maria-Santa Barbara, CA",California,black_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.898876404494382,0.0898876404494382,0.0,0.0,0.0,0.0,0.0,0.0
1,"Santa Maria-Santa Barbara, CA",California,asian_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.0898876404494382,0.6629213483146067,0.15730337078651685,0.033707865168539325,0.0449438202247191,0.0,0.0,0.0
1,"Santa Maria-Santa Barbara, CA",California,hispanic_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.0,0.0,0.0,0.02247191011235955,0.1797752808988764,0.2247191011235955,0.4157303370786517,0.14606741573033707
1,"Santa Maria-Santa Barbara, CA",California,other_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.19101123595505617,0.7752808988764045,0.02247191011235955,0.0,0.0,0.0,0.0,0.0
1,"Santa Maria-Santa Barbara, CA",California,total_diversity_exp,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.0,0.0,0.033707865168539325,0.06741573033707865,0.30337078651685395,0.5280898876404494,0.056179775280898875,0.0
1,"Santa Maria-Santa Barbara, CA",California,total_diversity_resi,0.0,0.1,0.2,0.30000000000000004,0.4,0.5,0.6000000000000001,0.7000000000000001,0.8,0.0,0.056179775280898875,0.07865168539325842,0.11235955056179775,0.23595505617977527,0.39325842696629215,0.12359550561797752,0.0
1,"Santa Maria-Santa Barbara, CA",California,diff,-0.55,-0.38750000000000007,-0.22500000000000003,-0.0625,0.09999999999999998,0.26249999999999996,0.42500000000000004,0.5874999999999999,0.75,0.0,0.0,0.15730337078651685,0.6179775280898876,0.20224719101123595,0.011235955056179775,0.0,0.0
1,,California,white_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,,,,,,,,
1,,California,black_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,,,,,,,,
1,,California,asian_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,,,,,,,,
1,,California,hispanic_diversity_exp,0.0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,,,,,,,,
